Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12308,10/9/2023,-0.033557207,-0.006940545,-0.007949687,21,100
Market-Adjusted Model,12310,10/9/2023,-0.076923066,-0.044939732,-0.051315545,21,100
Market-Adjusted Model,12313,10/9/2023,-0.024431377,0.001163654,0.001176144,21,100
Market-Adjusted Model,12314,10/9/2023,-0.005828267,0.020380134,0.019779254,21,100
Market-Adjusted Model,12315,10/9/2023,-0.045062446,-0.020256151,-0.019454925,21,100
Market-Adjusted Model,12316,10/9/2023,-0.025923831,-0.000317932,-0.000316311,21,100
Market-Adjusted Model,12317,10/9/2023,-0.066071406,-0.041532047,-0.040463886,21,100
Market-Adjusted Model,12318,10/9/2023,-0.061040736,-0.036272346,-0.035433215,21,100
Market-Adjusted Model,12321,10/9/2023,-0.057438414,-0.032398854,-0.031830894,21,100
Market-Adjusted Model,12325,10/9/2023,-0.193911281,-0.18192498,-0.16830376,21,100
Market-Adjusted Model,12326,10/9/2023,-0.002278217,0.024216935,0.023329303,21,100
Market-Adjusted Model,12329,10/9/2023,-0.051410653,-0.025179765,-0.025803132,21,100
Market-Adjusted Model,12331,10/9/2023,-0.038204089,-0.011309784,-0.012596569,21,100
Market-Adjusted Model,12332,10/9/2023,-0.087420009,-0.055818769,-0.061812489,21,100
Market-Adjusted Model,12333,10/9/2023,-0.157855576,-0.141512416,-0.132248056,21,100
Market-Adjusted Model,12338,10/9/2023,-0.031172128,-0.003534249,-0.005564607,21,100
Market-Adjusted Model,12339,10/9/2023,0.329183909,0.328692749,0.354791429,21,100
Market-Adjusted Model,12341,10/9/2023,-0.023601382,0.001822573,0.002006139,21,100
Market-Adjusted Model,12345,10/9/2023,-0.049546667,-0.023818376,-0.023939147,21,100
Market-Adjusted Model,12350,10/9/2023,-0.577735819,-0.776800413,-0.552128299,21,100
Market-Adjusted Model,12355,10/9/2023,-0.033117505,-0.005660103,-0.007509985,21,100
Market-Adjusted Model,12358,10/9/2023,0.012903296,0.057001225,0.038510817,21,100
Market-Adjusted Model,12360,10/9/2023,-0.187919392,-0.166529278,-0.162311871,21,100
